timestamps,eeg_1,eeg_2,eeg_3,eeg_4,acc_1,acc_2,acc_3,batt_1,batt_2,batt_3,drlref_1,drlref_2,delta_absolute_1,delta_absolute_2,delta_absolute_3,delta_absolute_4,theta_absolute_1,theta_absolute_2,theta_absolute_3,theta_absolute_4,alpha_absolute_1,alpha_absolute_2,alpha_absolute_3,alpha_absolute_4,beta_absolute_1,beta_absolute_2,beta_absolute_3,beta_absolute_4,gamma_absolute_1,gamma_absolute_2,gamma_absolute_3,gamma_absolute_4,delta_relative_1,delta_relative_2,delta_relative_3,delta_relative_4,theta_relative_1,theta_relative_2,theta_relative_3,theta_relative_4,alpha_relative_1,alpha_relative_2,alpha_relative_3,alpha_relative_4,beta_relative_1,beta_relative_2,beta_relative_3,beta_relative_4,gamma_relative_1,gamma_relative_2,gamma_relative_3,gamma_relative_4,delta_session_score_1,delta_session_score_2,delta_session_score_3,delta_session_score_4,theta_session_score_1,theta_session_score_2,theta_session_score_3,theta_session_score_4,alpha_session_score_1,alpha_session_score_2,alpha_session_score_3,alpha_session_score_4,beta_session_score_1,beta_session_score_2,beta_session_score_3,beta_session_score_4,gamma_session_score_1,gamma_session_score_2,gamma_session_score_3,gamma_session_score_4,blink,jaw_clench,hsi_precision_1,hsi_precision_2,hsi_precision_3,hsi_precision_4,note,recorder_info,config,device
1543457850.1244435,820.845214844,863.614685059,837.29498291,834.005004883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1543457850.1258638,,,,,-0.386719346046,0.125000193715,0.929688930511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1543457850.1269569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""{'os_type': 'iOS', 'os_version': '12.0', 'hardware_model_name': 'iPhone1', 'hardware_model_id': 'iPhone11,2', 'processor_name': 'ARM64', 'processor_speed': 'Unknown', 'number_of_processors': 6, 'memory_size': '0MB', 'bluetooth_version': '', 'time_zone': 'EST', 'time_zone_offset_seconds': -18000}"""
1543457850.1272380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""{'mac_addr': '0006667994F3', 'serial_number': '1210-P8RQ-94F3', 'preset': '14', 'model': 'MU_01', 'headband_name': '', 'microcontroller_id': '', 'filters_enabled': True, 'notch_frequency_hz': 60, 'eeg_sample_frequency_hz': 3520, 'eeg_output_frequency_hz': 220, 'eeg_samples_bitwidth': 10, 'eeg_channel_count': 4, 'eeg_channel_layout': 'TP9 FP1 FP2 TP10', 'eeg_downsample': 4, 'afe_gain': 1961.0, 'drlref_data_enabled': True, 'drlref_sample_frequency_hz': 10, 'acc_data_enabled': True, 'acc_sample_frequency_hz': 50, 'battery_data_enabled': True, 'battery_percent_remaining': 5350}""",
1543457850.1289921,817.555236816,858.679748535,840.584960938,832.360046387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1543457850.1335404,840.584960938,858.679748535,835.650024414,847.164855957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1543457850.1380889,845.519897461,866.904663086,832.360046387,838.940002441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1543457850.1426373,820.845214844,863.614685059,845.519897461,837.29498291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1543457850.1457798,,,,,-0.386719346046,0.121093936265,0.929688930511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1543457850.1471858,834.005004883,857.034729004,837.29498291,835.650024414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
